score[]	person[]	method[]	chapter[]	days[]	n[]
3	22	1	3	2	3
3	23	1	3	2	3
2	24	1	3	2	3
3	25	1	3	2	3
3	26	1	3	2	3
3	27	1	3	2	3
2	28	1	3	2	3
3	29	1	3	2	3
1	30	1	3	2	3
3	31	1	3	2	3
3	32	1	3	2	3
2	33	1	3	2	3
3	34	1	3	2	3
3	35	1	3	2	3
3	36	1	3	2	3
3	37	1	3	2	3
3	38	1	3	2	3
3	39	1	3	2	3
0	1	1	3	28	1
0	2	1	3	28	1
0	3	1	3	28	1
0	4	1	3	28	1
1	5	1	3	28	1
1	6	1	3	28	1
0	7	1	3	28	1
1	8	1	3	28	1
0	9	1	3	28	1
1	10	1	3	28	1
1	11	1	3	28	1
1	12	1	3	28	1
1	13	1	3	28	1
1	14	1	3	28	1
1	15	1	3	28	1
0	16	1	3	28	1
1	17	1	3	28	1
1	18	1	3	28	1
1	19	1	3	28	1
1	20	1	3	28	1
1	21	1	3	28	1
1	22	1	3	28	1
1	23	1	3	28	1
1	24	1	3	28	1
1	25	1	3	28	1
1	26	1	3	28	1
1	27	1	3	28	1
1	28	1	3	28	1
1	29	1	3	28	1
0	30	1	3	28	1
1	31	1	3	28	1
0	32	1	3	28	1
0	33	1	3	28	1
1	34	1	3	28	1
1	35	1	3	28	1
1	36	1	3	28	1
1	37	1	3	28	1
1	38	1	3	28	1
1	39	1	3	28	1
3	1	2	3	14	3
2	2	2	3	14	3
3	3	2	3	14	3
2	4	2	3	14	3
3	5	2	3	14	3
3	6	2	3	14	3
3	7	2	3	14	3
2	8	2	3	14	3
3	9	2	3	14	3
3	10	2	3	14	3
3	11	2	3	14	3
3	12	2	3	14	3
3	13	2	3	14	3
3	14	2	3	14	3
3	15	2	3	14	3
3	16	2	3	14	3
3	17	2	3	14	3
3	18	2	3	14	3
3	19	2	3	14	3
3	20	2	3	14	3
3	21	2	3	14	3
3	22	2	3	14	3
3	23	2	3	14	3
3	24	2	3	14	3
2	25	2	3	14	3
3	26	2	3	14	3
3	27	2	3	14	3
3	28	2	3	14	3
3	29	2	3	14	3
2	30	2	3	14	3
2	31	2	3	14	3
2	32	2	3	14	3
3	33	2	3	14	3
2	34	2	3	14	3
3	35	2	3	14	3
3	36	2	3	14	3
3	37	2	3	14	3
3	38	2	3	14	3
3	39	2	3	14	3
2	1	1	4	4	3
1	2	1	4	4	3
3	3	1	4	4	3
2	4	1	4	4	3
3	5	1	4	4	3
1	6	1	4	4	3
2	7	1	4	4	3
1	8	1	4	4	3
2	9	1	4	4	3
2	10	1	4	4	3
3	11	1	4	4	3
2	12	1	4	4	3
2	13	1	4	4	3
3	14	1	4	4	3
2	15	1	4	4	3
3	16	1	4	4	3
3	17	1	4	4	3
2	18	1	4	4	3
2	19	1	4	4	3
3	20	1	4	4	3
3	21	1	4	4	3
2	22	1	4	4	3
2	23	1	4	4	3
2	24	1	4	4	3
2	25	1	4	4	3
2	26	1	4	4	3
2	27	1	4	4	3
3	28	1	4	4	3
2	29	1	4	4	3
2	30	1	4	4	3
2	31	1	4	4	3
1	32	1	4	4	3
1	33	1	4	4	3
3	34	1	4	4	3
3	35	1	4	4	3
3	36	1	4	4	3
3	37	1	4	4	3
3	38	1	4	4	3
2	39	1	4	4	3
1	1	1	4	16	1
0	2	1	4	16	1
0	3	1	4	16	1
0	4	1	4	16	1
1	5	1	4	16	1
1	6	1	4	16	1
1	7	1	4	16	1
1	8	1	4	16	1
0	9	1	4	16	1
1	10	1	4	16	1
0	11	1	4	16	1
1	12	1	4	16	1
1	13	1	4	16	1
1	14	1	4	16	1
0	15	1	4	16	1
1	16	1	4	16	1
1	17	1	4	16	1
1	18	1	4	16	1
0	19	1	4	16	1
1	20	1	4	16	1
1	21	1	4	16	1
1	22	1	4	16	1
1	23	1	4	16	1
0	24	1	4	16	1
0	25	1	4	16	1
1	26	1	4	16	1
0	27	1	4	16	1
1	28	1	4	16	1
1	29	1	4	16	1
0	30	1	4	16	1
0	31	1	4	16	1
1	32	1	4	16	1
0	33	1	4	16	1
1	34	1	4	16	1
1	35	1	4	16	1
1	36	1	4	16	1
1	37	1	4	16	1
1	38	1	4	16	1
1	39	1	4	16	1
4	1	2	4	14	4
3	2	2	4	14	4
1	3	2	4	14	3
3	4	2	4	14	4
2	5	2	4	14	4
3	6	2	4	14	4
1	7	2	4	14	4
3	8	2	4	14	4
2	9	2	4	14	4
